type,value,package,tolerance,rating,stock_type,lcsc,mpn,description
C,1pF,0201,0.25pF,25V,basic,C295033,CL03C010CANNNC,1pF 0201 25V
C,1pF,0402,0.25pF,50V,basic,C52187,CL05C010CNNNNC,1pF 0402 50V
C,2.2pF,0201,0.25pF,25V,basic,C295037,CL03C2R2CANNNC,2.2pF 0201 25V
C,2.2pF,0402,0.25pF,50V,basic,C52199,CL05C2R2CNNNNC,2.2pF 0402 50V
C,4.7pF,0201,0.25pF,25V,basic,C295041,CL03C4R7CANNNC,4.7pF 0201 25V
C,4.7pF,0402,0.25pF,50V,basic,C52183,CL05C4R7CNNNNC,4.7pF 0402 50V
C,10pF,0201,5%,25V,basic,C106236,CL03C100JANNNC,10pF 0201 25V
C,10pF,0402,5%,50V,basic,C32949,CL05C100JNNNNC,10pF 0402 50V
C,10pF,0603,5%,50V,basic,C1634,CL10C100JNNNNC,10pF 0603 50V
C,15pF,0402,5%,50V,basic,C52232,CL05C150JNNNNC,15pF 0402 50V
C,15pF,0603,5%,50V,basic,C1644,CL10C150JNNNNC,15pF 0603 50V
C,22pF,0402,5%,50V,basic,C1555,CL05C220JNNNNC,22pF 0402 50V
C,22pF,0603,5%,50V,basic,C1653,CL10C220JNNNNC,22pF 0603 50V
C,27pF,0402,5%,50V,basic,C1557,CL05C270JNNNNC,27pF 0402 50V
C,27pF,0603,5%,50V,basic,C1655,CL10C270JNNNNC,27pF 0603 50V
C,33pF,0402,5%,50V,basic,C1558,CL05C330JNNNNC,33pF 0402 50V
C,33pF,0603,5%,50V,basic,C1658,CL10C330JNNNNC,33pF 0603 50V
C,47pF,0402,5%,50V,basic,C1559,CL05C470JNNNNC,47pF 0402 50V
C,47pF,0603,5%,50V,basic,C14144,CL10C470JNNNNC,47pF 0603 50V
C,56pF,0402,5%,50V,basic,C1560,CL05C560JNNNNC,56pF 0402 50V
C,68pF,0402,5%,50V,basic,C1561,CL05C680JNNNNC,68pF 0402 50V
C,68pF,0603,5%,50V,basic,C14151,CL10C680JNNNNC,68pF 0603 50V
C,100pF,0402,10%,50V,basic,C1556,CL05C101KNNNNC,100pF 0402 50V
C,100pF,0603,10%,50V,basic,C14858,CL10C101KNNNNC,100pF 0603 50V
C,100pF,0805,10%,50V,basic,C1702,CL21C101KNNNNC,100pF 0805 50V
C,150pF,0402,10%,50V,basic,C1563,CL05C151KNNNNC,150pF 0402 50V
C,150pF,0603,10%,50V,basic,C14865,CL10C151KNNNNC,150pF 0603 50V
C,220pF,0402,10%,50V,basic,C1564,CL05C221KNNNNC,220pF 0402 50V
C,220pF,0603,10%,50V,basic,C1603,CL10C221KNNNNC,220pF 0603 50V
C,330pF,0402,10%,50V,basic,C1565,CL05C331KNNNNC,330pF 0402 50V
C,330pF,0603,10%,50V,basic,C1604,CL10C331KNNNNC,330pF 0603 50V
C,470pF,0402,10%,50V,basic,C1566,CL05C471KNNNNC,470pF 0402 50V
C,470pF,0603,10%,50V,basic,C14180,CL10C471KNNNNC,470pF 0603 50V
C,680pF,0402,10%,50V,basic,C1567,CL05C681KNNNNC,680pF 0402 50V
C,680pF,0603,10%,50V,basic,C1610,CL10C681KNNNNC,680pF 0603 50V
C,1nF,0402,10%,50V,basic,C1523,CL05B102KNNNNC,1nF 0402 50V
C,1nF,0603,10%,50V,basic,C1588,CL10B102KNNNNC,1nF 0603 50V
C,1nF,0805,10%,50V,basic,C1760,CL21B102KNNNNC,1nF 0805 50V
C,1.5nF,0402,10%,50V,basic,C1524,CL05B152KNNNNC,1.5nF 0402 50V
C,1.5nF,0603,10%,50V,basic,C1591,CL10B152KNNNNC,1.5nF 0603 50V
C,2.2nF,0402,10%,50V,basic,C1526,CL05B222KNNNNC,2.2nF 0402 50V
C,2.2nF,0603,10%,50V,basic,C1592,CL10B222KNNNNC,2.2nF 0603 50V
C,3.3nF,0402,10%,50V,basic,C1527,CL05B332KNNNNC,3.3nF 0402 50V
C,3.3nF,0603,10%,50V,basic,C1593,CL10B332KNNNNC,3.3nF 0603 50V
C,4.7nF,0402,10%,50V,basic,C1528,CL05B472KNNNNC,4.7nF 0402 50V
C,4.7nF,0603,10%,50V,basic,C14196,CL10B472KNNNNC,4.7nF 0603 50V
C,6.8nF,0402,10%,25V,basic,C52435,CL05B682KANNNC,6.8nF 0402 25V
C,6.8nF,0603,10%,50V,basic,C14201,CL10B682KNNNNC,6.8nF 0603 50V
C,10nF,0402,10%,25V,basic,C15195,CL05B103KANNNC,10nF 0402 25V
