type,value,package,tolerance,rating,stock_type,lcsc,mpn,description
# Op-Amps,,,,,,,,
IC,LM358,SOP-8,,,basic,C7945,LM358DR,Dual Op-Amp
IC,LM324,TSSOP-14,,,basic,C7946,LM324PWR,Quad Op-Amp
IC,LM2902,TSSOP-14,,,basic,C7947,LM2902PWR,Quad Op-Amp Industrial
IC,TL072,SOP-8,,,basic,C6961,TL072DR,Dual J-FET Op-Amp Low Noise
IC,TL074,SOP-14,,,basic,C29466,TL074DR,Quad J-FET Op-Amp Low Noise
IC,TL082,SOP-8,,,basic,C6970,TL082DR,Dual J-FET Op-Amp
IC,NE5532,SOP-8,,,basic,C7955,NE5532,Dual Low-Noise Op-Amp Audio
IC,OPA2340,SOP-8,,,extended,C129912,OPA2340,Dual Rail-to-Rail CMOS Op-Amp
IC,OPA2134,SOP-8,,,extended,C129913,OPA2134,Dual Audio Op-Amp Hi-Fi
IC,MCP6002,SOP-8,,,basic,C7377,MCP6002,Dual 1MHz Rail-to-Rail
IC,MCP6022,SOP-8,,,extended,C131512,MCP6022,Dual 10MHz Rail-to-Rail
IC,LMV358,SOP-8,,,basic,C7956,LMV358DR,Dual Low Voltage Op-Amp
IC,SGM8541,SOT-23-5,,,basic,C80648,SGM8541,Single Rail-to-Rail
IC,SGM8542,SOP-8,,,basic,C80649,SGM8542,Dual Rail-to-Rail
# Linear Regulators,,,,,,,,
IC,AMS1117-3.3,SOT-223,,,basic,C6186,AMS1117-3.3,3.3V LDO 1A
IC,AMS1117-5.0,SOT-223,,,basic,C6187,AMS1117-5.0,5V LDO 1A
IC,AMS1117-1.8,SOT-223,,,basic,C6185,AMS1117-1.8,1.8V LDO 1A
IC,AMS1117-1.2,SOT-223,,,basic,C6184,AMS1117-1.2,1.2V LDO 1A
IC,AMS1117-ADJ,SOT-223,,,basic,C6188,AMS1117-ADJ,Adjustable LDO 1A
IC,ME6211C33,SOT-23-5,,,basic,C82942,ME6211C33,3.3V LDO 500mA Low Iq
IC,ME6211C18,SOT-23-5,,,basic,C82941,ME6211C18,1.8V LDO 500mA Low Iq
IC,XC6206P332MR,SOT-23,,,basic,C5446,XC6206P332MR,3.3V LDO 200mA Low Iq
IC,XC6206P182MR,SOT-23,,,basic,C5447,XC6206P182MR,1.8V LDO 200mA Low Iq
IC,RT9193-33GB,SOT-23-5,,,basic,C15651,RT9193-33GB,3.3V LDO 300mA
IC,RT9193-18GB,SOT-23-5,,,basic,C15650,RT9193-18GB,1.8V LDO 300mA
IC,TLV1117LV33,SOT-223,,,basic,C15578,TLV1117LV33,3.3V LDO 1A Low Dropout
IC,AP2112K-3.3,SOT-23-5,,,basic,C51118,AP2112K-3.3,3.3V LDO 600mA
IC,AP2112K-1.8,SOT-23-5,,,basic,C51117,AP2112K-1.8,1.8V LDO 600mA
IC,LM7805,TO-220,,,basic,C347376,LM7805,5V Linear 1.5A
IC,LM7803,TO-220,,,basic,C347375,LM7803,3.3V Linear 1.5A
IC,LM7812,TO-220,,,basic,C347378,LM7812,12V Linear 1.5A
IC,LM317,TO-220,,,basic,C347384,LM317,Adjustable 1.5A
IC,L78L05,SOT-89,,,basic,C106245,L78L05,5V Linear 100mA
IC,L78L33,SOT-89,,,basic,C106244,L78L33,3.3V Linear 100mA
# N-Channel MOSFETs,,,,,,,,
IC,2N7002,SOT-23,,,basic,C8545,2N7002,N-Ch 60V 300mA
IC,SI2302,SOT-23,,,basic,C10487,SI2302,N-Ch 20V 2.6A
